Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g dpk
Speed Unit,rpm
Variable,Derived pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/22/2025 11:38:39 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:48 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:01 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:07 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:09 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:16 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:18 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:25 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:34 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:36 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:42 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:46 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:51 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:19 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:25 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:35 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:39 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:52 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:58 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:07 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:08 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:12 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:25 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:41:30 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:34 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:43 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:41:46 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:52 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:59 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:04 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:19 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:42:24 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:29 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:42:37 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:39 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:45 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:50 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:52 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:03 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:18 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:19 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:27 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:30 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:42 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:45 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:43:49 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:53 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:00 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:02 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:06 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:20 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:26 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:33 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:37 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:55 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:02 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:14 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:20 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:45:27 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:37 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:43 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:45:49 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:53 AM,0.067,Valid,,,N/A,N/A
1/22/2025 11:45:56 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:00 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:46:04 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:11 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:19 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:20 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:32 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:40 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:41 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:47 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:52 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:08 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:15 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:25 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:47:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:31 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:36 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:47:40 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:53 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:58 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:02 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:07 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:17 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:20 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:30 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:33 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:36 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:41 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:44 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:50 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:54 AM,0.001,Valid,,,N/A,N/A
