Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/22/2025 11:38:36 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:38:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:48 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:38:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:38:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:04 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:19 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:26 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:28 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:33 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:38 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:41 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:46 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:39:54 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:39:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:05 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:11 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:19 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:26 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:29 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:36 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:45 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:50 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:40:58 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:07 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:09 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:18 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:21 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:25 AM,0.01,Valid,,,N/A,N/A
1/22/2025 11:41:31 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:36 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:39 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:44 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:53 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:41:59 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:04 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:10 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:42:19 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:24 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:29 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:38 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:42:41 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:45 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:42:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:03 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:43:08 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:14 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:18 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:20 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:43:27 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:39 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:44 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:43:49 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:56 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:06 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:08 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:19 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:20 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:44:26 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:35 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:37 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:44:43 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:50 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:55 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:45:05 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:06 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:20 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:45:24 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:29 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:37 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:43 AM,0.007,Valid,,,N/A,N/A
1/22/2025 11:45:49 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:54 AM,0.067,Valid,,,N/A,N/A
1/22/2025 11:46:00 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:46:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:11 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:46:19 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:20 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:29 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:32 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:40 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:46:42 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:46 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:46:50 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:59 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:07 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:47:12 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:15 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:26 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:47:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:35 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:38 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:40 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:53 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:56 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:00 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:05 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:48:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:17 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:48:20 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:37 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:48:42 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:48:44 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:48:50 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:00 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:05 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:10 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:12 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:49:25 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:28 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:35 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:39 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:49:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:48 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:50:02 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:50:06 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:50:12 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:50:15 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:50:22 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:50:25 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:50:30 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:50:35 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:50:43 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:50:47 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:50:52 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:51:03 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:51:04 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:51:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:51:13 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:51:18 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:51:24 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:51:27 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:51:34 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:51:40 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:51:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:51:50 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:51:55 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:02 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:52:04 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:12 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:17 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:52:22 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:52:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:52:36 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:52:41 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:43 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:52:50 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:52:52 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:53:00 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:02 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:53:07 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:08 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:53:17 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:19 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:53:32 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:36 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:38 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:53:42 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:47 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:57 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:53:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:01 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:54:07 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:11 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:18 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:21 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:26 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:54:32 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:54:33 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:39 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:54:49 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:53 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:55 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:54:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:05 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:55:22 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:28 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:31 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:34 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:55:40 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:55:46 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:55:49 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:55:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:56:00 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:08 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:56:12 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:56:23 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:34 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:56:38 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:43 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:48 AM,0.006,Valid,,,N/A,N/A
1/22/2025 11:56:51 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:56:59 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:57:02 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:11 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:14 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:20 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:23 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:33 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:57:37 AM,0.002,Valid,,,N/A,N/A
