Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,g rms
Speed Unit,rpm
Variable,Direct rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/22/2025 11:38:39 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:41 AM,0,Valid,,,N/A,N/A
1/22/2025 11:38:47 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:38:53 AM,0,Valid,,,N/A,N/A
1/22/2025 11:38:59 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:01 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:07 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:09 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:18 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:26 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:34 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:36 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:42 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:46 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:51 AM,0,Valid,,,N/A,N/A
1/22/2025 11:39:54 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:39:59 AM,0,Valid,,,N/A,N/A
1/22/2025 11:40:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:10 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:23 AM,0,Valid,,,N/A,N/A
1/22/2025 11:40:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:35 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:39 AM,0,Valid,,,N/A,N/A
1/22/2025 11:40:47 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:40:52 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:54 AM,0,Valid,,,N/A,N/A
1/22/2025 11:41:02 AM,0,Valid,,,N/A,N/A
1/22/2025 11:41:07 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:18 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:19 AM,0,Valid,,,N/A,N/A
1/22/2025 11:41:25 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:31 AM,0,Valid,,,N/A,N/A
1/22/2025 11:41:34 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:43 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:46 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:52 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:41:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:04 AM,0,Valid,,,N/A,N/A
1/22/2025 11:42:10 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:19 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:25 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:29 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:42:37 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:39 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:45 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:42:50 AM,0,Valid,,,N/A,N/A
1/22/2025 11:42:52 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:02 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:08 AM,0,Valid,,,N/A,N/A
1/22/2025 11:43:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:18 AM,0,Valid,,,N/A,N/A
1/22/2025 11:43:20 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:28 AM,0,Valid,,,N/A,N/A
1/22/2025 11:43:30 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:42 AM,0,Valid,,,N/A,N/A
1/22/2025 11:43:45 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:43:52 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:43:54 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:01 AM,0,Valid,,,N/A,N/A
1/22/2025 11:44:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:07 AM,0,Valid,,,N/A,N/A
1/22/2025 11:44:16 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:20 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:25 AM,0,Valid,,,N/A,N/A
1/22/2025 11:44:37 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:40 AM,0,Valid,,,N/A,N/A
1/22/2025 11:44:51 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:44:55 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:04 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:07 AM,0,Valid,,,N/A,N/A
1/22/2025 11:45:14 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:20 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:45:22 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:45:28 AM,0,Valid,,,N/A,N/A
1/22/2025 11:45:37 AM,0,Valid,,,N/A,N/A
1/22/2025 11:45:43 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:45:48 AM,0,Valid,,,N/A,N/A
1/22/2025 11:45:53 AM,0.042,Valid,,,N/A,N/A
1/22/2025 11:45:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:00 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:46:04 AM,0,Valid,,,N/A,N/A
1/22/2025 11:46:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:14 AM,0,Valid,,,N/A,N/A
1/22/2025 11:46:20 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:25 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:34 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:40 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:42 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:47 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:46:52 AM,0,Valid,,,N/A,N/A
1/22/2025 11:46:57 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:06 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:08 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:13 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:15 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:23 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:25 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:32 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:36 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:47:43 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:46 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:47:54 AM,0,Valid,,,N/A,N/A
1/22/2025 11:48:02 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:11 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:17 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:20 AM,0,Valid,,,N/A,N/A
1/22/2025 11:48:27 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:33 AM,0,Valid,,,N/A,N/A
1/22/2025 11:48:38 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:42 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:44 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:50 AM,0,Valid,,,N/A,N/A
1/22/2025 11:48:54 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:48:58 AM,0,Valid,,,N/A,N/A
1/22/2025 11:49:05 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:12 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:17 AM,0,Valid,,,N/A,N/A
1/22/2025 11:49:22 AM,0,Valid,,,N/A,N/A
1/22/2025 11:49:28 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:29 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:38 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:49:42 AM,0,Valid,,,N/A,N/A
1/22/2025 11:49:49 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:56 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:49:59 AM,0,Valid,,,N/A,N/A
1/22/2025 11:50:08 AM,0,Valid,,,N/A,N/A
1/22/2025 11:50:12 AM,0.001,Valid,,,N/A,N/A
1/22/2025 11:50:15 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:50:22 AM,0,Valid,,,N/A,N/A
1/22/2025 11:50:26 AM,0.001,Valid,,,N/A,N/A
