Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,in/s pk
Speed Unit,rpm
Variable,Velocity pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/22/2025 11:38:36 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:38:44 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:38:48 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:38:53 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:38:54 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:00 AM,0.006,Valid,,,N/A,N/A
1/22/2025 11:39:07 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:39:11 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:17 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:18 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:39:25 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:28 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:39:34 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:38 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:39:41 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:46 AM,0.006,Valid,,,N/A,N/A
1/22/2025 11:39:51 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:39:54 AM,0.012,Valid,,,N/A,N/A
1/22/2025 11:40:03 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:05 AM,0.006,Valid,,,N/A,N/A
1/22/2025 11:40:11 AM,0.007,Valid,,,N/A,N/A
1/22/2025 11:40:14 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:19 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:25 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:40:29 AM,0.008,Valid,,,N/A,N/A
1/22/2025 11:40:34 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:40:36 AM,0.008,Valid,,,N/A,N/A
1/22/2025 11:40:47 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:40:50 AM,0.012,Valid,,,N/A,N/A
1/22/2025 11:40:54 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:05 AM,0.005,Valid,,,N/A,N/A
1/22/2025 11:41:09 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:14 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:18 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:25 AM,0.031,Valid,,,N/A,N/A
1/22/2025 11:41:30 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:36 AM,0.009,Valid,,,N/A,N/A
1/22/2025 11:41:41 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:41:44 AM,0.01,Valid,,,N/A,N/A
1/22/2025 11:41:48 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:41:53 AM,0.011,Valid,,,N/A,N/A
1/22/2025 11:41:59 AM,0.01,Valid,,,N/A,N/A
1/22/2025 11:42:05 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:42:10 AM,0.007,Valid,,,N/A,N/A
1/22/2025 11:42:18 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:19 AM,0.012,Valid,,,N/A,N/A
1/22/2025 11:42:25 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:30 AM,0.01,Valid,,,N/A,N/A
1/22/2025 11:42:38 AM,0.01,Valid,,,N/A,N/A
1/22/2025 11:42:40 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:42:45 AM,0.016,Valid,,,N/A,N/A
1/22/2025 11:42:49 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:42:57 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:00 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:43:07 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:12 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:43:13 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:20 AM,0.006,Valid,,,N/A,N/A
1/22/2025 11:43:28 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:40 AM,0.004,Valid,,,N/A,N/A
1/22/2025 11:43:44 AM,0.013,Valid,,,N/A,N/A
1/22/2025 11:43:50 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:43:53 AM,0.003,Valid,,,N/A,N/A
1/22/2025 11:43:59 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:07 AM,0.002,Valid,,,N/A,N/A
1/22/2025 11:44:14 AM,0.004,Valid,,,N/A,N/A
