Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g rms
Speed Unit,rpm
Variable,Direct rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/23/2025 11:37:04 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:11 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:14 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:26 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:28 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:34 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:36 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:40 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:47 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:49 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:52 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:58 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:05 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:15 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:19 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:23 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:33 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:34 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:38 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:46 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:50 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:53 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:58 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:07 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:10 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:13 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:21 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:25 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:31 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:34 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:41 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:47 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:01 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:02 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:07 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:19 AM,0,Valid,,,N/A,N/A
1/23/2025 11:40:24 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:27 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:36 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:37 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:44 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:45 AM,0,Valid,,,N/A,N/A
1/23/2025 11:40:55 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:58 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:01 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:05 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:12 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:13 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:24 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:25 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:29 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:33 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:42 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:46 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:48 AM,0,Valid,,,N/A,N/A
1/23/2025 11:41:57 AM,0,Valid,,,N/A,N/A
1/23/2025 11:42:01 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:07 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:11 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:17 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:23 AM,0,Valid,,,N/A,N/A
