Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,in/s rms
Speed Unit,rpm
Variable,Velocity rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/23/2025 11:37:04 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:11 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:37:13 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:37:18 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:26 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:37:28 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:34 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:36 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:37:40 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:37:47 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:37:52 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:37:56 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:37:58 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:38:05 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:14 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:38:19 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:23 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:38:26 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:34 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:38:38 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:38:46 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:50 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:53 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:58 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:39:07 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:39:10 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:39:13 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:21 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:39:25 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:31 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:34 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:41 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:39:47 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:40:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:02 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:40:07 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:40:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:19 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:23 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:27 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:40:36 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:40:37 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:44 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:45 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:55 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:40:58 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:03 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:12 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:14 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:20 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:25 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:41:29 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:41:33 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:42 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:47 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:51 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:01 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:42:03 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:42:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:13 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:14 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:21 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:27 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:38 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:41 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:44 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:49 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:42:51 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:05 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:07 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:43:16 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:17 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:29 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:35 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:43:45 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:47 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:02 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:10 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:15 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:44:22 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:34 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:38 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:44:44 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:48 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:52 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:58 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:02 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:08 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:10 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:25 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:32 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:34 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:42 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:44 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:49 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:54 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:04 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:10 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:21 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:26 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:34 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:46:38 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:44 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:46:48 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:53 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:03 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:47:05 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:47:14 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:47:23 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:47:29 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:47:37 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:47:41 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:47:45 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:47 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:47:53 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:00 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:04 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:11 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:48:15 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:17 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:48:24 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:48:27 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:32 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:41 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:43 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:48:51 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:59 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:03 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:13 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:14 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:19 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:27 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:49:28 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:40 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:42 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:49:46 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:49 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:49:54 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:59 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:50:03 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:50:10 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:12 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:19 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:50:26 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:50:33 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:50:36 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:40 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:50:45 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:50:49 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:50:56 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:51:00 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:51:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:51:13 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:51:15 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:51:17 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:51:25 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:51:32 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:51:35 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:51:39 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:51:49 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:51:56 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:51:58 AM,0.001,Valid,,,N/A,N/A
