Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/23/2025 11:37:03 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:11 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:37:14 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:37:19 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:22 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:37:27 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:31 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:33 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:37:42 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:43 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:37:50 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:37:54 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:37:58 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:00 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:38:09 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:15 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:38:16 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:38:20 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:30 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:31 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:38:38 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:42 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:38:48 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:38:49 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:38:56 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:39:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:06 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:12 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:39:18 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:21 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:39:25 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:34 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:36 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:41 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:39:43 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:50 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:39:55 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:07 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:40:13 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:16 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:20 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:27 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:35 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:40:39 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:40:49 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:50 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:40:55 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:02 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:05 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:13 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:16 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:20 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:32 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:33 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:41:40 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:41:46 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:41:52 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:57 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:41:58 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:42:05 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:12 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:17 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:42:21 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:42:27 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:35 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:42:36 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:42:47 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:42:49 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:42:53 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:42:58 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:43:03 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:43:10 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:43:14 AM,0.006,Valid,,,N/A,N/A
1/23/2025 11:43:20 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:21 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:43:28 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:43:32 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:40 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:42 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:47 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:43:52 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:43:58 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:01 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:04 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:15 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:22 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:29 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:32 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:39 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:41 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:48 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:44:54 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:55 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:44:59 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:45:06 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:12 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:45:14 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:18 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:45:28 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:30 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:45:38 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:43 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:47 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:45:50 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:45:57 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:45:59 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:09 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:10 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:46:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:46:22 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:46:28 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:38 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:39 AM,0.008,Valid,,,N/A,N/A
1/23/2025 11:46:46 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:46:51 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:46:56 AM,0.005,Valid,,,N/A,N/A
1/23/2025 11:47:06 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:09 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:47:13 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:47:18 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:47:21 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:28 AM,0.007,Valid,,,N/A,N/A
1/23/2025 11:47:30 AM,0.01,Valid,,,N/A,N/A
1/23/2025 11:47:41 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:47:42 AM,0.009,Valid,,,N/A,N/A
1/23/2025 11:47:47 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:47:54 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:01 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:07 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:11 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:48:17 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:48:22 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:25 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:31 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:33 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:48:40 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:48 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:48:53 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:04 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:09 AM,0.011,Valid,,,N/A,N/A
1/23/2025 11:49:14 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:19 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:23 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:49:31 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:32 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:39 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:42 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:49:47 AM,0.001,Valid,,,N/A,N/A
1/23/2025 11:49:49 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:49:54 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:01 AM,0.004,Valid,,,N/A,N/A
1/23/2025 11:50:07 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:50:13 AM,0.003,Valid,,,N/A,N/A
1/23/2025 11:50:16 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:25 AM,0.002,Valid,,,N/A,N/A
1/23/2025 11:50:26 AM,0.003,Valid,,,N/A,N/A
