Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g rms
Speed Unit,rpm
Variable,Direct rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/30/2025 10:00:15 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:16 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:22 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:23 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:34 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:36 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:39 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:41 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:46 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:54 AM,0,Valid,,,N/A,N/A
1/30/2025 10:00:59 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:05 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:10 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:16 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:17 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:25 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:29 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:34 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:40 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:42 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:47 AM,0,Valid,,,N/A,N/A
1/30/2025 10:01:54 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:57 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:02 AM,0,Valid,,,N/A,N/A
1/30/2025 10:02:11 AM,0,Valid,,,N/A,N/A
1/30/2025 10:02:12 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:18 AM,0,Valid,,,N/A,N/A
1/30/2025 10:02:22 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:30 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:32 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:42 AM,0,Valid,,,N/A,N/A
1/30/2025 10:02:44 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:49 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:02:51 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:00 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:06 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:10 AM,0,Valid,,,N/A,N/A
1/30/2025 10:03:17 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:22 AM,0,Valid,,,N/A,N/A
1/30/2025 10:03:27 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:31 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:37 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:39 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:46 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:50 AM,0,Valid,,,N/A,N/A
1/30/2025 10:03:52 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:58 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:03:59 AM,0,Valid,,,N/A,N/A
1/30/2025 10:04:12 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:04:13 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:04:30 AM,0,Valid,,,N/A,N/A
1/30/2025 10:04:32 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:04:42 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:04:47 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:04:54 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:04:56 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:03 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:08 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:13 AM,0,Valid,,,N/A,N/A
1/30/2025 10:05:18 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:22 AM,0,Valid,,,N/A,N/A
1/30/2025 10:05:28 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:38 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:39 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:46 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:47 AM,0,Valid,,,N/A,N/A
1/30/2025 10:05:53 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:58 AM,0.003,Valid,,,N/A,N/A
