Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,in/s pk
Speed Unit,rpm
Variable,Velocity pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/30/2025 10:00:11 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:16 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:00:24 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:00:27 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:33 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:34 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:00:39 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:42 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:00:49 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:00:54 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:58 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:03 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:10 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:16 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:18 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:01:27 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:34 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:38 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:40 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:48 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:54 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:01:58 AM,0.007,Valid,,,N/A,N/A
1/30/2025 10:02:03 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:02:09 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:13 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:02:20 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:24 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:02:26 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:37 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:46 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:02:48 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:50 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:02:57 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:00 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:03:08 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:03:12 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:14 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:03:18 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:27 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:03:31 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:38 AM,0.008,Valid,,,N/A,N/A
1/30/2025 10:03:39 AM,0.012,Valid,,,N/A,N/A
1/30/2025 10:03:46 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:03:52 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:03:56 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:58 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:04:04 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:04:10 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:04:13 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:04:21 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:26 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:04:29 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:38 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:04:42 AM,0.017,Valid,,,N/A,N/A
1/30/2025 10:04:47 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:04:54 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:04:56 AM,0.009,Valid,,,N/A,N/A
1/30/2025 10:05:01 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:08 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:05:13 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:20 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:22 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:29 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:05:32 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:38 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:42 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:46 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:49 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:53 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:59 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:06:07 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:06:11 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:17 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:23 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:25 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:06:33 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:06:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:42 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:47 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:06:54 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:06:58 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:10 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:12 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:07:19 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:07:25 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:30 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:07:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:39 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:07:41 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:07:47 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:51 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:07:57 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:01 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:03 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:08 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:15 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:23 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:26 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:31 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:32 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:37 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:44 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:48 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:52 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:55 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:58 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:09:10 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:13 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:19 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:23 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:28 AM,0.003,Valid,,,N/A,N/A
