Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
1/30/2025 10:00:12 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:14 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:20 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:21 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:28 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:36 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:39 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:43 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:49 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:00:52 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:00:59 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:03 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:05 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:12 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:13 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:01:27 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:29 AM,0.012,Valid,,,N/A,N/A
1/30/2025 10:01:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:39 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:01:42 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:01:47 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:01:50 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:02:00 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:02:04 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:07 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:02:13 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:02:16 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:26 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:29 AM,0.028,Valid,,,N/A,N/A
1/30/2025 10:02:33 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:40 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:02:41 AM,0.019,Valid,,,N/A,N/A
1/30/2025 10:02:51 AM,0.02,Valid,,,N/A,N/A
1/30/2025 10:02:53 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:02:59 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:01 AM,0.016,Valid,,,N/A,N/A
1/30/2025 10:03:07 AM,0.033,Valid,,,N/A,N/A
1/30/2025 10:03:10 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:14 AM,0.025,Valid,,,N/A,N/A
1/30/2025 10:03:17 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:03:25 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:26 AM,0.009,Valid,,,N/A,N/A
1/30/2025 10:03:33 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:39 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:03:46 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:50 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:03:53 AM,0.004,Valid,,,N/A,N/A
1/30/2025 10:04:02 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:04:05 AM,0.006,Valid,,,N/A,N/A
1/30/2025 10:04:14 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:15 AM,0.014,Valid,,,N/A,N/A
1/30/2025 10:04:22 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:27 AM,0.013,Valid,,,N/A,N/A
1/30/2025 10:04:36 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:38 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:04:42 AM,0.009,Valid,,,N/A,N/A
1/30/2025 10:04:47 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:54 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:04:56 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:01 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:08 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:15 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:05:21 AM,0.021,Valid,,,N/A,N/A
1/30/2025 10:05:22 AM,0.014,Valid,,,N/A,N/A
1/30/2025 10:05:25 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:35 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:36 AM,0.028,Valid,,,N/A,N/A
1/30/2025 10:05:46 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:05:47 AM,0.018,Valid,,,N/A,N/A
1/30/2025 10:05:52 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:05:54 AM,0.02,Valid,,,N/A,N/A
1/30/2025 10:06:03 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:04 AM,0.024,Valid,,,N/A,N/A
1/30/2025 10:06:09 AM,0.024,Valid,,,N/A,N/A
1/30/2025 10:06:16 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:29 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:30 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:37 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:41 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:06:47 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:54 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:06:58 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:07:10 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:07:13 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:19 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:22 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:28 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:07:30 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:36 AM,0.005,Valid,,,N/A,N/A
1/30/2025 10:07:41 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:47 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:07:51 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:07:56 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:07:59 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:08:06 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:07 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:13 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:08:17 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:08:22 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:24 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:08:31 AM,0.003,Valid,,,N/A,N/A
1/30/2025 10:08:36 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:37 AM,0.009,Valid,,,N/A,N/A
1/30/2025 10:08:41 AM,0.02,Valid,,,N/A,N/A
1/30/2025 10:08:47 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:08:56 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:08:57 AM,0.016,Valid,,,N/A,N/A
1/30/2025 10:09:05 AM,0.014,Valid,,,N/A,N/A
1/30/2025 10:09:11 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:12 AM,0.016,Valid,,,N/A,N/A
1/30/2025 10:09:18 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:22 AM,0.017,Valid,,,N/A,N/A
1/30/2025 10:09:28 AM,0.015,Valid,,,N/A,N/A
1/30/2025 10:09:33 AM,0.018,Valid,,,N/A,N/A
1/30/2025 10:09:37 AM,0.001,Valid,,,N/A,N/A
1/30/2025 10:09:42 AM,0.002,Valid,,,N/A,N/A
1/30/2025 10:09:48 AM,0.024,Valid,,,N/A,N/A
