Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,in/s rms
Speed Unit,rpm
Variable,Velocity rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/5/2025 9:44:20 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:44:24 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:44:27 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:44:30 AM,0.018,Valid,,,N/A,N/A
2/5/2025 9:44:30 AM,0.01,Valid,,,N/A,N/A
2/5/2025 9:44:38 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:45 AM,0.035,Valid,,,N/A,N/A
2/5/2025 9:44:47 AM,0.015,Valid,,,N/A,N/A
2/5/2025 9:44:53 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:45:00 AM,0.058,Valid,,,N/A,N/A
2/5/2025 9:45:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:11 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:45:15 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:45:18 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:45:19 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:45:24 AM,0.021,Valid,,,N/A,N/A
2/5/2025 9:45:28 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:45:31 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:45:40 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:45 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:45:53 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:45:55 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:45:56 AM,0.01,Valid,,,N/A,N/A
2/5/2025 9:46:02 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:46:06 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:46:08 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:46:17 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:46:21 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:46:24 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:46:27 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:31 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:46:33 AM,0.03,Valid,,,N/A,N/A
2/5/2025 9:46:36 AM,0.009,Valid,,,N/A,N/A
2/5/2025 9:46:42 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:48 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:55 AM,0.037,Valid,,,N/A,N/A
2/5/2025 9:46:56 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:47:00 AM,0.047,Valid,,,N/A,N/A
2/5/2025 9:47:09 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:12 AM,0.023,Valid,,,N/A,N/A
2/5/2025 9:47:16 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:47:20 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:30 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:47:35 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:47:39 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:47:40 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:47 AM,0.014,Valid,,,N/A,N/A
2/5/2025 9:47:49 AM,0.06,Valid,,,N/A,N/A
2/5/2025 9:47:55 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:47:57 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:05 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:48:11 AM,0.024,Valid,,,N/A,N/A
2/5/2025 9:48:11 AM,0.039,Valid,,,N/A,N/A
2/5/2025 9:48:15 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:16 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:48:20 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:48:23 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:48:28 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:48:33 AM,0.019,Valid,,,N/A,N/A
2/5/2025 9:48:41 AM,0.02,Valid,,,N/A,N/A
2/5/2025 9:48:44 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:50 AM,0.015,Valid,,,N/A,N/A
2/5/2025 9:48:54 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:02 AM,0.012,Valid,,,N/A,N/A
2/5/2025 9:49:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:08 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:14 AM,0.032,Valid,,,N/A,N/A
2/5/2025 9:49:19 AM,0.018,Valid,,,N/A,N/A
2/5/2025 9:49:20 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:26 AM,0.016,Valid,,,N/A,N/A
2/5/2025 9:49:35 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:49:38 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:49:39 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:49:45 AM,0.012,Valid,,,N/A,N/A
2/5/2025 9:49:46 AM,0.013,Valid,,,N/A,N/A
2/5/2025 9:49:48 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:56 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:49:57 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:10 AM,0.017,Valid,,,N/A,N/A
2/5/2025 9:50:15 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:50:20 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:50:23 AM,0.009,Valid,,,N/A,N/A
2/5/2025 9:50:26 AM,0.001,Valid,,,N/A,N/A
2/5/2025 9:50:32 AM,0.04,Valid,,,N/A,N/A
