Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/5/2025 9:44:17 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:18 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:30 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:44:34 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:44:34 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:44:38 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:40 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:44:45 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:44:45 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:44:47 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:44:53 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:56 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:44:59 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:45:01 AM,0.014,Valid,,,N/A,N/A
2/5/2025 9:45:11 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:15 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:18 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:24 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:45:24 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:45:28 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:45:32 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:36 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:45:44 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:49 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:45:55 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:45:56 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:46:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:06 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:09 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:17 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:24 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:27 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:32 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:46:33 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:46:36 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:46:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:47 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:46:55 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:46:55 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:46:56 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:47:02 AM,0.022,Valid,,,N/A,N/A
2/5/2025 9:47:08 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:47:10 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:47:11 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:47:12 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:47:16 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:47:19 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:31 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:36 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:38 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:47 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:47:50 AM,0.021,Valid,,,N/A,N/A
2/5/2025 9:47:55 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:57 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:47:58 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:48:06 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:48:07 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:48:08 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:48:11 AM,0.012,Valid,,,N/A,N/A
2/5/2025 9:48:15 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:48:23 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:24 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:48:25 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:48:25 AM,0.01,Valid,,,N/A,N/A
2/5/2025 9:48:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:30 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:48:33 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:48:36 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:48:38 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:48:41 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:48:44 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:47 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:48:47 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:48:49 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:48:50 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:48:54 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:48:56 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:49:01 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:02 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:03 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:49:04 AM,0.009,Valid,,,N/A,N/A
2/5/2025 9:49:07 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:08 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:49:09 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:10 AM,0.013,Valid,,,N/A,N/A
2/5/2025 9:49:10 AM,0.013,Valid,,,N/A,N/A
2/5/2025 9:49:18 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:49:19 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:49:23 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:49:26 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:49:27 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:49:27 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:49:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:37 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:45 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:46 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:48 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:49:49 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:49:50 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:49:50 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:49:56 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:50:01 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:07 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:50:10 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:50:10 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:50:14 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:20 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:22 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:50:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:32 AM,0.01,Valid,,,N/A,N/A
2/5/2025 9:50:33 AM,0.009,Valid,,,N/A,N/A
2/5/2025 9:50:40 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:42 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:50:45 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:50:45 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:50:46 AM,0.011,Valid,,,N/A,N/A
2/5/2025 9:50:46 AM,0.01,Valid,,,N/A,N/A
2/5/2025 9:50:51 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:50:58 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:51:04 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:51:07 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:51:13 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:51:14 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:51:16 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:51:16 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:51:22 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:51:27 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:51:30 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:51:31 AM,0.007,Valid,,,N/A,N/A
2/5/2025 9:51:33 AM,0.006,Valid,,,N/A,N/A
2/5/2025 9:51:33 AM,0.005,Valid,,,N/A,N/A
2/5/2025 9:51:38 AM,0.008,Valid,,,N/A,N/A
2/5/2025 9:51:40 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:51:44 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:51:47 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:51:51 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:51:55 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:07 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:12 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:15 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:24 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:34 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:36 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:41 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:47 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:52 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:52:57 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:00 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:06 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:10 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:16 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:21 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:27 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:29 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:44 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:53:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:48 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:56 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:53:58 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:09 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:14 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:15 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:18 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:54:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:34 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:41 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:54:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:54:53 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:55:00 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:55:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:05 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:55:14 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:15 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:18 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:27 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:34 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:41 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:45 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:55:49 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:55 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:55:57 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:13 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:17 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:23 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:56:29 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:56:29 AM,0.004,Valid,,,N/A,N/A
2/5/2025 9:56:34 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:38 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:56:43 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:56:52 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:01 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:09 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:17 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:22 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:29 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:33 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:41 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:43 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:57:48 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:57:59 AM,0.003,Valid,,,N/A,N/A
2/5/2025 9:58:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:14 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:18 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:24 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:28 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:30 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:35 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:41 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:49 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:51 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:58:56 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:04 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:06 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:07 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:16 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:21 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:30 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:32 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:40 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:43 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:47 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:54 AM,0.002,Valid,,,N/A,N/A
2/5/2025 9:59:59 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:01 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:05 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:00:09 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:16 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:22 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:25 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:28 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:00:36 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:39 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:51 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:00:54 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:00:58 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:13 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:20 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:01:21 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:27 AM,0.004,Valid,,,N/A,N/A
2/5/2025 10:01:33 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:37 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:43 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:45 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:01:50 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:00 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:03 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:05 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:12 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:02:18 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:23 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:02:30 AM,0.003,Valid,,,N/A,N/A
2/5/2025 10:02:32 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:37 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:40 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:49 AM,0.002,Valid,,,N/A,N/A
2/5/2025 10:02:52 AM,0.002,Valid,,,N/A,N/A
