Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g rms
Speed Unit,rpm
Variable,Direct rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/13/2025 10:44:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:21 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:29 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:30 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:34 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:40 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:42 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:46 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:54 AM,0,Valid,,,N/A,N/A
2/13/2025 10:44:56 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:03 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:12 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:15 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:17 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:22 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:27 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:30 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:49 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:55 AM,0,Valid,,,N/A,N/A
2/13/2025 10:45:56 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:04 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:11 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:15 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:17 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:21 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:27 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:37 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:40 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:43 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:46 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:55 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:01 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:14 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:22 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:25 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:28 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:33 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:40 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:44 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:48 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:52 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:58 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:01 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:09 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:17 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:22 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:27 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:30 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:36 AM,0,Valid,,,N/A,N/A
2/13/2025 10:48:39 AM,0,Valid,,,N/A,N/A
