Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,V 
Speed Unit,rpm
Variable,Bias
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/13/2025 10:44:20 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:24 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:25 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:30 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:37 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:41 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:42 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:49 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:53 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:44:59 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:03 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:09 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:14 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:19 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:24 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:25 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:27 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:35 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:37 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:48 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:51 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:45:55 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:00 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:05 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:12 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:46:14 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:22 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:24 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:27 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:46:32 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:37 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:41 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:46:49 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:50 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:46:53 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:46:59 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:03 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:11 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:16 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:21 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:27 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:31 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:37 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:41 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:46 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:51 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:58 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:47:59 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:05 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:07 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:10 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:18 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:20 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:31 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:34 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:38 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:48:46 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:48:48 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:48:56 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:49:00 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:04 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:49:10 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:49:12 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:23 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:25 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:32 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:37 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:39 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:45 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:53 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:49:54 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:50:07 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:50:10 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:16 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:50:18 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:24 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:32 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:34 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:39 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:41 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:46 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:50:52 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:02 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:51:05 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:12 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:15 AM,-11.981,Valid,,,N/A,N/A
2/13/2025 10:51:23 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:24 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:30 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:37 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:45 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:51 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:54 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:51:58 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:07 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:11 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:16 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:25 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:27 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:33 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:34 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:43 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:46 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:51 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:55 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:52:58 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:53:05 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:53:08 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:53:17 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:53:20 AM,-11.982,Valid,,,N/A,N/A
2/13/2025 10:53:24 AM,-11.982,Valid,,,N/A,N/A
