Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/13/2025 10:44:16 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:24 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:29 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:41 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:02 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:23 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:30 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:53 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:16 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:24 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:48 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:47 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:48:51 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:48:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:16 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:49:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:27 AM,0.005,Valid,,,N/A,N/A
2/13/2025 10:49:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:33 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:48 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:55 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:52:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:07 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:31 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:52:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:23 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:45 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:53 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:24 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:39 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:54:41 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:54:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:59 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:55 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:55:59 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:56:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:07 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:13 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:56:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:26 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:46 AM,0.008,Valid,,,N/A,N/A
2/13/2025 10:56:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:54 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:56:58 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:57:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:48 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:29 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:33 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:37 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:43 AM,0.001,Valid,,,N/A,N/A
