Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,in/s pk
Speed Unit,rpm
Variable,Velocity pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/13/2025 10:44:16 AM,0.006,Valid,,,N/A,N/A
2/13/2025 10:44:22 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:27 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:44:29 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:41 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:42 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:44:48 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:55 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:00 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:16 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:45:19 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:26 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:27 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:34 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:41 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:45:48 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:52 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:45:57 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:02 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:46:05 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:13 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:22 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:27 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:30 AM,0.008,Valid,,,N/A,N/A
2/13/2025 10:46:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:39 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:44 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:48 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:53 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:46:57 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:01 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:16 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:47:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:32 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:36 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:44 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:52 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:47:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:09 AM,0.002,Valid,,,N/A,N/A
