Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,in/s rms
Speed Unit,rpm
Variable,Velocity rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/13/2025 10:44:19 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:44:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:40 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:42 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:44:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:44:57 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:04 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:23 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:33 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:41 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:45:42 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:45:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:45:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:02 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:46:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:21 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:30 AM,0.006,Valid,,,N/A,N/A
2/13/2025 10:46:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:40 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:46:46 AM,0,Valid,,,N/A,N/A
2/13/2025 10:46:48 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:46:52 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:47:01 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:16 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:47:23 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:25 AM,0,Valid,,,N/A,N/A
2/13/2025 10:47:29 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:47:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:48:47 AM,0.006,Valid,,,N/A,N/A
2/13/2025 10:48:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:03 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:49:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:16 AM,0.003,Valid,,,N/A,N/A
2/13/2025 10:49:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:27 AM,0.022,Valid,,,N/A,N/A
2/13/2025 10:49:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:43 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:49:53 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:19 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:50:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:37 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:50:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:50:58 AM,0,Valid,,,N/A,N/A
2/13/2025 10:51:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:21 AM,0,Valid,,,N/A,N/A
2/13/2025 10:51:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:37 AM,0,Valid,,,N/A,N/A
2/13/2025 10:51:44 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:51:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:51:54 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:52:00 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:52:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:15 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:52:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:29 AM,0.005,Valid,,,N/A,N/A
2/13/2025 10:52:33 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:52:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:04 AM,0,Valid,,,N/A,N/A
2/13/2025 10:53:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:31 AM,0,Valid,,,N/A,N/A
2/13/2025 10:53:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:53:52 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:53:56 AM,0,Valid,,,N/A,N/A
2/13/2025 10:54:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:28 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:54:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:37 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:54:41 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:54:45 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:54:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:07 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:24 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:55:53 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:55:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:13 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:56:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:44 AM,0.024,Valid,,,N/A,N/A
2/13/2025 10:56:51 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:56:54 AM,0.006,Valid,,,N/A,N/A
2/13/2025 10:56:58 AM,0.004,Valid,,,N/A,N/A
2/13/2025 10:57:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:25 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:26 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:45 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:57:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:57:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:07 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:20 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:58:23 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:26 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:37 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:58:55 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:59:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:05 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:59:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:09 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:23 AM,0.002,Valid,,,N/A,N/A
2/13/2025 10:59:29 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 10:59:48 AM,0.006,Valid,,,N/A,N/A
2/13/2025 10:59:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:02 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:00:07 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:00:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:17 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:00:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:45 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:00:59 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:01:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:33 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:01:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:01:53 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:02 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:02:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:27 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:02:34 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:02:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:02:46 AM,0.008,Valid,,,N/A,N/A
2/13/2025 11:02:52 AM,0.005,Valid,,,N/A,N/A
2/13/2025 11:02:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:10 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:03:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:20 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:03:27 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:03:33 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:46 AM,0,Valid,,,N/A,N/A
2/13/2025 11:03:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:03:55 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:11 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:12 AM,0,Valid,,,N/A,N/A
2/13/2025 11:04:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:21 AM,0,Valid,,,N/A,N/A
2/13/2025 11:04:26 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:30 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:04:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:41 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:04:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:04:56 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:05:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:12 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:05:15 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:21 AM,0,Valid,,,N/A,N/A
2/13/2025 11:05:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:30 AM,0,Valid,,,N/A,N/A
2/13/2025 11:05:36 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:05:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:07 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:23 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:06:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:33 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:06:37 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:45 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:06:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:06:56 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:07:00 AM,0.016,Valid,,,N/A,N/A
2/13/2025 11:07:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:06 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:19 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:07:24 AM,0,Valid,,,N/A,N/A
2/13/2025 11:07:29 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:34 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:07:45 AM,0,Valid,,,N/A,N/A
2/13/2025 11:07:48 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:07:57 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:07:59 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:08 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:08:13 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:17 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:08:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:24 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:08:32 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:35 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:08:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:08:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:14 AM,0,Valid,,,N/A,N/A
2/13/2025 11:09:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:37 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:41 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:49 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:09:59 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:08 AM,0,Valid,,,N/A,N/A
2/13/2025 11:10:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:19 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:29 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:10:32 AM,0.021,Valid,,,N/A,N/A
2/13/2025 11:10:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:10:47 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:10:52 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:00 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:09 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:11:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:37 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:11:40 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:43 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:47 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:57 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:11:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:06 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:12:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:17 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:20 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:28 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:29 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:12:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:38 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:42 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:12:53 AM,0,Valid,,,N/A,N/A
2/13/2025 11:12:55 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:12:58 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:02 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:13:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:08 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:16 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:18 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:27 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:37 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:13:45 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:13:48 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:13:55 AM,0,Valid,,,N/A,N/A
2/13/2025 11:13:57 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:02 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:13 AM,0,Valid,,,N/A,N/A
2/13/2025 11:14:19 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:14:21 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:22 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:35 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:44 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:47 AM,0,Valid,,,N/A,N/A
2/13/2025 11:14:50 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:14:56 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:01 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:12 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:17 AM,0,Valid,,,N/A,N/A
2/13/2025 11:15:19 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:15:27 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:15:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:33 AM,0.003,Valid,,,N/A,N/A
2/13/2025 11:15:45 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:48 AM,0.005,Valid,,,N/A,N/A
2/13/2025 11:15:53 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:15:56 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:15:57 AM,0,Valid,,,N/A,N/A
2/13/2025 11:16:05 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:10 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:14 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:15 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:16:22 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:16:30 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:31 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:39 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:46 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:16:53 AM,0.002,Valid,,,N/A,N/A
2/13/2025 11:16:54 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:17:03 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:17:04 AM,0.001,Valid,,,N/A,N/A
2/13/2025 11:17:09 AM,0,Valid,,,N/A,N/A
