timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
2/17/2025 10:27,-11.981,0.04,0.094,0.028,0.064,0.036,-11.981,0.04,0.094,0.028,0.064,0.036,faulted_coupling,50
2/17/2025 10:27,-11.981,0.044,0.088,0.031,0.063,0.037,-11.981,0.044,0.088,0.031,0.063,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.043,0.1,0.03,0.065,0.037,-11.981,0.043,0.1,0.03,0.065,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.046,0.098,0.033,0.064,0.039,-11.981,0.046,0.098,0.033,0.064,0.039,faulted_coupling,50
2/17/2025 10:27,-11.981,0.045,0.106,0.032,0.065,0.039,-11.981,0.045,0.106,0.032,0.065,0.039,faulted_coupling,50
2/17/2025 10:27,-11.981,0.04,0.097,0.028,0.063,0.037,-11.981,0.04,0.097,0.028,0.063,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.047,0.11,0.033,0.063,0.037,-11.981,0.047,0.11,0.033,0.063,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.043,0.097,0.03,0.067,0.038,-11.981,0.043,0.097,0.03,0.067,0.038,faulted_coupling,50
2/17/2025 10:27,-11.981,0.048,0.108,0.034,0.063,0.036,-11.981,0.048,0.108,0.034,0.063,0.036,faulted_coupling,50
2/17/2025 10:27,-11.981,0.042,0.095,0.03,0.066,0.038,-11.981,0.042,0.095,0.03,0.066,0.038,faulted_coupling,50
2/17/2025 10:27,-11.981,0.049,0.12,0.035,0.064,0.036,-11.981,0.049,0.12,0.035,0.064,0.036,faulted_coupling,50
2/17/2025 10:27,-11.981,0.043,0.106,0.031,0.067,0.038,-11.981,0.043,0.106,0.031,0.067,0.038,faulted_coupling,50
2/17/2025 10:27,-11.981,0.051,0.122,0.036,0.066,0.038,-11.981,0.051,0.122,0.036,0.066,0.038,faulted_coupling,50
2/17/2025 10:27,-11.981,0.045,0.111,0.032,0.068,0.037,-11.981,0.045,0.111,0.032,0.068,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.051,0.13,0.036,0.067,0.039,-11.981,0.051,0.13,0.036,0.067,0.039,faulted_coupling,50
2/17/2025 10:27,-11.981,0.046,0.122,0.032,0.067,0.037,-11.981,0.046,0.122,0.032,0.067,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.045,0.11,0.031,0.065,0.039,-11.981,0.045,0.11,0.031,0.065,0.039,faulted_coupling,50
2/17/2025 10:27,-11.981,0.051,0.127,0.036,0.066,0.037,-11.981,0.051,0.127,0.036,0.066,0.037,faulted_coupling,50
2/17/2025 10:27,-11.981,0.046,0.109,0.032,0.075,0.039,-11.981,0.046,0.109,0.032,0.075,0.039,faulted_coupling,50
2/17/2025 10:28,-11.981,0.051,0.127,0.036,0.067,0.036,-11.981,0.051,0.127,0.036,0.067,0.036,faulted_coupling,50
2/17/2025 10:28,-11.981,0.046,0.114,0.033,0.068,0.039,-11.981,0.046,0.114,0.033,0.068,0.039,faulted_coupling,50
2/17/2025 10:28,-11.981,0.052,0.126,0.036,0.065,0.037,-11.981,0.052,0.126,0.036,0.065,0.037,faulted_coupling,50
2/17/2025 10:28,-11.981,0.049,0.109,0.035,0.067,0.04,-11.981,0.049,0.109,0.035,0.067,0.04,faulted_coupling,50
2/17/2025 10:28,-11.981,0.047,0.1,0.033,0.066,0.038,-11.981,0.047,0.1,0.033,0.066,0.038,faulted_coupling,50
2/17/2025 10:28,-11.981,0.043,0.114,0.03,0.067,0.041,-11.981,0.043,0.114,0.03,0.067,0.041,faulted_coupling,50
2/17/2025 10:28,-11.981,0.046,0.106,0.033,0.065,0.038,-11.981,0.046,0.106,0.033,0.065,0.038,faulted_coupling,50
2/17/2025 10:28,-11.981,0.048,0.12,0.034,0.067,0.04,-11.981,0.048,0.12,0.034,0.067,0.04,faulted_coupling,50
2/17/2025 10:28,-11.981,0.049,0.099,0.035,0.065,0.036,-11.981,0.049,0.099,0.035,0.065,0.036,faulted_coupling,50
2/17/2025 10:28,-11.981,0.047,0.096,0.033,0.069,0.04,-11.981,0.047,0.096,0.033,0.069,0.04,faulted_coupling,50
2/17/2025 10:28,-11.981,0.048,0.111,0.034,0.066,0.037,-11.981,0.048,0.111,0.034,0.066,0.037,faulted_coupling,50
2/17/2025 10:28,-11.98,0.045,0.103,0.032,0.07,0.037,-11.98,0.045,0.103,0.032,0.07,0.037,faulted_coupling,50
2/17/2025 10:28,-11.98,0.043,0.12,0.031,0.07,0.04,-11.98,0.043,0.12,0.031,0.07,0.04,faulted_coupling,50
2/17/2025 10:28,-11.981,0.049,0.122,0.035,0.069,0.038,-11.981,0.049,0.122,0.035,0.069,0.038,faulted_coupling,50
2/17/2025 10:28,-11.981,0.047,0.112,0.033,0.069,0.04,-11.981,0.047,0.112,0.033,0.069,0.04,faulted_coupling,50
2/17/2025 10:28,-11.981,0.05,0.105,0.036,0.073,0.037,-11.981,0.05,0.105,0.036,0.073,0.037,faulted_coupling,50
2/17/2025 10:29,-11.981,0.053,0.111,0.038,0.075,0.04,-11.981,0.053,0.111,0.038,0.075,0.04,faulted_coupling,50
2/17/2025 10:29,-11.981,0.047,0.119,0.033,0.073,0.04,-11.981,0.047,0.119,0.033,0.073,0.04,faulted_coupling,50
2/17/2025 10:29,-11.981,0.048,0.126,0.034,0.069,0.038,-11.981,0.048,0.126,0.034,0.069,0.038,faulted_coupling,50
2/17/2025 10:29,-11.981,0.051,0.111,0.036,0.07,0.04,-11.981,0.051,0.111,0.036,0.07,0.04,faulted_coupling,50
2/17/2025 10:29,-11.981,0.051,0.121,0.036,0.071,0.039,-11.981,0.051,0.121,0.036,0.071,0.039,faulted_coupling,50
2/17/2025 10:29,-11.981,0.054,0.118,0.038,0.072,0.039,-11.981,0.054,0.118,0.038,0.072,0.039,faulted_coupling,50
