timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
2/17/2025 12:40,-11.983,0.03,0.068,0.021,0.099,0.063,-12.024,0.046,0.067,0.032,0.164,0.101,imbalance,50
2/17/2025 12:40,-11.983,0.035,0.056,0.025,0.094,0.065,-12.024,0.05,0.078,0.035,0.154,0.106,imbalance,50
2/17/2025 12:40,-11.983,0.034,0.064,0.024,0.092,0.063,-12.024,0.05,0.073,0.036,0.16,0.105,imbalance,50
2/17/2025 12:40,-11.983,0.031,0.058,0.022,0.099,0.064,-12.024,0.046,0.081,0.032,0.153,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.034,0.06,0.024,0.099,0.064,-12.024,0.049,0.082,0.035,0.15,0.106,imbalance,50
2/17/2025 12:40,-11.983,0.031,0.055,0.022,0.095,0.063,-12.024,0.045,0.071,0.032,0.159,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.031,0.064,0.022,0.096,0.064,-12.024,0.046,0.072,0.032,0.159,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.035,0.059,0.025,0.1,0.063,-12.024,0.05,0.08,0.036,0.151,0.105,imbalance,50
2/17/2025 12:40,-11.983,0.031,0.059,0.022,0.096,0.064,-12.024,0.051,0.07,0.036,0.159,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.034,0.055,0.024,0.098,0.064,-12.024,0.046,0.081,0.032,0.152,0.106,imbalance,50
2/17/2025 12:40,-11.983,0.032,0.058,0.022,0.098,0.063,-12.024,0.046,0.072,0.032,0.153,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.034,0.062,0.024,0.094,0.064,-12.024,0.05,0.08,0.036,0.16,0.105,imbalance,50
2/17/2025 12:40,-11.983,0.035,0.06,0.025,0.099,0.065,-12.024,0.052,0.08,0.037,0.154,0.107,imbalance,50
2/17/2025 12:40,-11.983,0.032,0.064,0.022,0.094,0.063,-12.024,0.047,0.073,0.033,0.161,0.103,imbalance,50
2/17/2025 12:40,-11.983,0.034,0.065,0.024,0.099,0.064,-12.024,0.046,0.071,0.033,0.153,0.103,imbalance,50
2/17/2025 12:41,-11.983,0.032,0.056,0.022,0.095,0.063,-12.024,0.05,0.078,0.035,0.16,0.106,imbalance,50
2/17/2025 12:41,-11.983,0.032,0.061,0.023,0.094,0.063,-12.024,0.046,0.072,0.033,0.154,0.105,imbalance,50
2/17/2025 12:41,-11.983,0.035,0.065,0.025,0.101,0.065,-12.024,0.051,0.081,0.036,0.159,0.104,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.055,0.022,0.097,0.063,-12.024,0.047,0.084,0.033,0.149,0.103,imbalance,50
2/17/2025 12:41,-11.983,0.033,0.071,0.023,0.1,0.064,-12.024,0.046,0.075,0.033,0.159,0.106,imbalance,50
2/17/2025 12:41,-11.983,0.032,0.065,0.022,0.095,0.063,-12.024,0.046,0.084,0.032,0.16,0.103,imbalance,50
2/17/2025 12:41,-11.983,0.034,0.061,0.024,0.1,0.064,-12.024,0.049,0.07,0.035,0.152,0.105,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.055,0.022,0.099,0.064,-12.024,0.046,0.072,0.032,0.151,0.104,imbalance,50
2/17/2025 12:41,-11.983,0.033,0.064,0.023,0.095,0.063,-12.024,0.049,0.084,0.034,0.16,0.105,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.06,0.022,0.096,0.063,-12.024,0.045,0.072,0.032,0.15,0.104,imbalance,50
2/17/2025 12:41,-11.983,0.033,0.063,0.023,0.099,0.064,-12.024,0.048,0.077,0.034,0.159,0.105,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.055,0.022,0.095,0.063,-12.024,0.05,0.073,0.035,0.158,0.103,imbalance,50
2/17/2025 12:41,-11.983,0.034,0.062,0.024,0.1,0.065,-12.024,0.046,0.082,0.032,0.152,0.106,imbalance,50
2/17/2025 12:41,-11.983,0.033,0.058,0.023,0.097,0.064,-12.024,0.047,0.07,0.033,0.15,0.105,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.063,0.022,0.1,0.063,-12.024,0.052,0.084,0.037,0.159,0.103,imbalance,50
2/17/2025 12:41,-11.983,0.035,0.059,0.025,0.098,0.065,-12.024,0.046,0.07,0.033,0.153,0.104,imbalance,50
2/17/2025 12:41,-11.983,0.036,0.069,0.025,0.096,0.064,-12.024,0.051,0.083,0.036,0.159,0.106,imbalance,50
2/17/2025 12:41,-11.983,0.031,0.058,0.022,0.094,0.063,-12.024,0.049,0.069,0.035,0.16,0.106,imbalance,50
2/17/2025 12:41,-11.983,0.035,0.064,0.025,0.099,0.064,-12.024,0.046,0.068,0.032,0.154,0.103,imbalance,50
2/17/2025 12:42,-11.983,0.031,0.058,0.022,0.096,0.063,-12.024,0.048,0.08,0.034,0.15,0.105,imbalance,50
2/17/2025 12:42,-11.983,0.031,0.065,0.022,0.1,0.064,-12.024,0.046,0.072,0.032,0.159,0.104,imbalance,50
