Machine Name,
Point Name,Acceleration Channel 1
Comp,
Y-Axis Unit,g dpk
Speed Unit,rpm
Variable,Derived pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/17/2025 12:40:18 PM,0.03,Valid,,,N/A,N/A
2/17/2025 12:40:20 PM,0.035,Valid,,,N/A,N/A
2/17/2025 12:40:25 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:40:26 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:40:29 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:40:31 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:40:34 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:40:39 PM,0.035,Valid,,,N/A,N/A
2/17/2025 12:40:41 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:40:42 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:40:46 PM,0.032,Valid,,,N/A,N/A
2/17/2025 12:40:49 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:40:52 PM,0.035,Valid,,,N/A,N/A
2/17/2025 12:40:53 PM,0.032,Valid,,,N/A,N/A
2/17/2025 12:40:59 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:41:01 PM,0.032,Valid,,,N/A,N/A
2/17/2025 12:41:08 PM,0.032,Valid,,,N/A,N/A
2/17/2025 12:41:09 PM,0.035,Valid,,,N/A,N/A
2/17/2025 12:41:11 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:41:15 PM,0.033,Valid,,,N/A,N/A
2/17/2025 12:41:20 PM,0.032,Valid,,,N/A,N/A
2/17/2025 12:41:21 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:41:24 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:41:25 PM,0.033,Valid,,,N/A,N/A
2/17/2025 12:41:28 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:41:32 PM,0.033,Valid,,,N/A,N/A
2/17/2025 12:41:34 PM,0.031,Valid,,,N/A,N/A
2/17/2025 12:41:38 PM,0.034,Valid,,,N/A,N/A
2/17/2025 12:41:41 PM,0.033,Valid,,,N/A,N/A
