Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,g pk
Speed Unit,rpm
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/17/2025 12:40:18 PM,0.067,Valid,,,N/A,N/A
2/17/2025 12:40:20 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:40:23 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:40:24 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:40:29 PM,0.082,Valid,,,N/A,N/A
2/17/2025 12:40:31 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:40:34 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:40:36 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:40:41 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:40:43 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:40:47 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:40:49 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:40:52 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:40:54 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:40:57 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:40:59 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:41:04 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:41:06 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:41:09 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:41:11 PM,0.075,Valid,,,N/A,N/A
2/17/2025 12:41:18 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:41:19 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:41:25 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:41:26 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:41:31 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:41:35 PM,0.077,Valid,,,N/A,N/A
2/17/2025 12:41:36 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:41:38 PM,0.082,Valid,,,N/A,N/A
2/17/2025 12:41:42 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:41:46 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:41:48 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:41:52 PM,0.083,Valid,,,N/A,N/A
2/17/2025 12:41:54 PM,0.069,Valid,,,N/A,N/A
2/17/2025 12:41:57 PM,0.068,Valid,,,N/A,N/A
2/17/2025 12:42:01 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:42:02 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:42:06 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:42:08 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:42:15 PM,0.077,Valid,,,N/A,N/A
2/17/2025 12:42:16 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:42:19 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:42:20 PM,0.087,Valid,,,N/A,N/A
2/17/2025 12:42:25 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:42:26 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:42:31 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:42:33 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:42:38 PM,0.075,Valid,,,N/A,N/A
2/17/2025 12:42:39 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:42:45 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:42:46 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:42:51 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:42:54 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:42:55 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:43:02 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:43:05 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:43:07 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:43:13 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:43:17 PM,0.082,Valid,,,N/A,N/A
2/17/2025 12:43:21 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:43:23 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:43:27 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:43:30 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:43:31 PM,0.076,Valid,,,N/A,N/A
2/17/2025 12:43:38 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:43:39 PM,0.086,Valid,,,N/A,N/A
2/17/2025 12:43:43 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:43:51 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:43:52 PM,0.082,Valid,,,N/A,N/A
2/17/2025 12:43:57 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:43:58 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:44:03 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:44:07 PM,0.095,Valid,,,N/A,N/A
2/17/2025 12:44:10 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:44:14 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:44:17 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:44:23 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:44:24 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:44:29 PM,0.092,Valid,,,N/A,N/A
2/17/2025 12:44:32 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:44:35 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:44:37 PM,0.075,Valid,,,N/A,N/A
2/17/2025 12:44:41 PM,0.092,Valid,,,N/A,N/A
2/17/2025 12:44:44 PM,0.088,Valid,,,N/A,N/A
2/17/2025 12:44:47 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:44:50 PM,0.067,Valid,,,N/A,N/A
2/17/2025 12:44:54 PM,0.088,Valid,,,N/A,N/A
2/17/2025 12:44:58 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:44:59 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:45:05 PM,0.075,Valid,,,N/A,N/A
2/17/2025 12:45:08 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:45:09 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:45:13 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:45:17 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:45:23 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:45:24 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:45:28 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:45:30 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:45:35 PM,0.076,Valid,,,N/A,N/A
2/17/2025 12:45:37 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:45:41 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:45:43 PM,0.068,Valid,,,N/A,N/A
2/17/2025 12:45:49 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:45:50 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:45:57 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:45:59 PM,0.08,Valid,,,N/A,N/A
2/17/2025 12:46:03 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:46:07 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:46:10 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:46:12 PM,0.083,Valid,,,N/A,N/A
2/17/2025 12:46:16 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:46:20 PM,0.07,Valid,,,N/A,N/A
2/17/2025 12:46:25 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:46:26 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:46:31 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:46:37 PM,0.069,Valid,,,N/A,N/A
2/17/2025 12:46:41 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:46:48 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:46:50 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:46:52 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:46:56 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:46:58 PM,0.074,Valid,,,N/A,N/A
2/17/2025 12:47:04 PM,0.068,Valid,,,N/A,N/A
2/17/2025 12:47:05 PM,0.076,Valid,,,N/A,N/A
2/17/2025 12:47:09 PM,0.069,Valid,,,N/A,N/A
2/17/2025 12:47:10 PM,0.077,Valid,,,N/A,N/A
2/17/2025 12:47:17 PM,0.068,Valid,,,N/A,N/A
2/17/2025 12:47:21 PM,0.072,Valid,,,N/A,N/A
2/17/2025 12:47:23 PM,0.076,Valid,,,N/A,N/A
2/17/2025 12:47:25 PM,0.078,Valid,,,N/A,N/A
2/17/2025 12:47:29 PM,0.069,Valid,,,N/A,N/A
2/17/2025 12:47:31 PM,0.071,Valid,,,N/A,N/A
2/17/2025 12:47:33 PM,0.079,Valid,,,N/A,N/A
2/17/2025 12:47:38 PM,0.081,Valid,,,N/A,N/A
2/17/2025 12:47:39 PM,0.073,Valid,,,N/A,N/A
2/17/2025 12:47:43 PM,0.084,Valid,,,N/A,N/A
2/17/2025 12:47:45 PM,0.075,Valid,,,N/A,N/A
