Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,in/s pk
Speed Unit,rpm
Variable,Velocity pk
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/17/2025 12:40:16 PM,0.164,Valid,,,N/A,N/A
2/17/2025 12:40:19 PM,0.154,Valid,,,N/A,N/A
2/17/2025 12:40:22 PM,0.16,Valid,,,N/A,N/A
2/17/2025 12:40:24 PM,0.153,Valid,,,N/A,N/A
2/17/2025 12:40:28 PM,0.15,Valid,,,N/A,N/A
2/17/2025 12:40:29 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:40:36 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:40:38 PM,0.151,Valid,,,N/A,N/A
2/17/2025 12:40:43 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:40:45 PM,0.152,Valid,,,N/A,N/A
2/17/2025 12:40:48 PM,0.153,Valid,,,N/A,N/A
2/17/2025 12:40:49 PM,0.16,Valid,,,N/A,N/A
2/17/2025 12:40:55 PM,0.154,Valid,,,N/A,N/A
2/17/2025 12:40:56 PM,0.161,Valid,,,N/A,N/A
2/17/2025 12:40:58 PM,0.153,Valid,,,N/A,N/A
2/17/2025 12:41:03 PM,0.16,Valid,,,N/A,N/A
2/17/2025 12:41:05 PM,0.154,Valid,,,N/A,N/A
2/17/2025 12:41:07 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:41:11 PM,0.149,Valid,,,N/A,N/A
2/17/2025 12:41:15 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:41:18 PM,0.16,Valid,,,N/A,N/A
2/17/2025 12:41:20 PM,0.152,Valid,,,N/A,N/A
2/17/2025 12:41:23 PM,0.151,Valid,,,N/A,N/A
2/17/2025 12:41:27 PM,0.16,Valid,,,N/A,N/A
2/17/2025 12:41:29 PM,0.15,Valid,,,N/A,N/A
2/17/2025 12:41:30 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:41:36 PM,0.158,Valid,,,N/A,N/A
2/17/2025 12:41:37 PM,0.152,Valid,,,N/A,N/A
2/17/2025 12:41:43 PM,0.15,Valid,,,N/A,N/A
2/17/2025 12:41:44 PM,0.159,Valid,,,N/A,N/A
2/17/2025 12:41:46 PM,0.153,Valid,,,N/A,N/A
