Machine Name,
Point Name,Acceleration Channel 2
Comp,
Y-Axis Unit,in/s rms
Speed Unit,rpm
Variable,Velocity rms
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
2/17/2025 12:40:16 PM,0.101,Valid,,,N/A,N/A
2/17/2025 12:40:20 PM,0.106,Valid,,,N/A,N/A
2/17/2025 12:40:22 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:40:26 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:29 PM,0.106,Valid,,,N/A,N/A
2/17/2025 12:40:33 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:34 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:36 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:40:41 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:42 PM,0.106,Valid,,,N/A,N/A
2/17/2025 12:40:48 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:49 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:40:52 PM,0.107,Valid,,,N/A,N/A
2/17/2025 12:40:57 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:40:58 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:41:02 PM,0.106,Valid,,,N/A,N/A
2/17/2025 12:41:06 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:41:08 PM,0.104,Valid,,,N/A,N/A
2/17/2025 12:41:10 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:41:15 PM,0.106,Valid,,,N/A,N/A
2/17/2025 12:41:20 PM,0.103,Valid,,,N/A,N/A
2/17/2025 12:41:21 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:41:22 PM,0.104,Valid,,,N/A,N/A
2/17/2025 12:41:26 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:41:29 PM,0.104,Valid,,,N/A,N/A
2/17/2025 12:41:30 PM,0.105,Valid,,,N/A,N/A
2/17/2025 12:41:34 PM,0.103,Valid,,,N/A,N/A
